Word presentation timestamps:
2023-03-31 10:15:03.476685 hair
2023-03-31 10:15:05.010610 and
2023-03-31 10:15:06.543979 wearing
2023-03-31 10:15:08.063106 a
2023-03-31 10:15:09.579822 black
2023-03-31 10:15:11.096340 jumper.
2023-03-31 10:15:12.613239 Det
2023-03-31 10:15:14.129202 Sgt
2023-03-31 10:15:15.645183 Raymond
2023-03-31 10:15:17.162214 Hunter
2023-03-31 10:15:18.678247 said
2023-03-31 10:15:20.247879 officers
2023-03-31 10:15:21.795975 had
2023-03-31 10:15:23.326654 been
2023-03-31 10:15:24.859907 carrying
2023-03-31 10:15:26.393251 out
2023-03-31 10:15:27.926412 door-to-door
2023-03-31 10:15:29.458923 inquiries
2023-03-31 10:15:30.993167 and
2023-03-31 10:15:32.526301 were
2023-03-31 10:15:34.060551 in
2023-03-31 10:15:35.577673 the
2023-03-31 10:15:37.097569 process
2023-03-31 10:15:38.611580 of
2023-03-31 10:15:40.128280 collecting
2023-03-31 10:15:41.646277 CCTV
2023-03-31 10:15:43.162472 images
2023-03-31 10:15:44.679084 from
2023-03-31 10:15:46.246455 the
2023-03-31 10:15:47.776503 surrounding
2023-03-31 10:15:49.309580 area.
2023-03-31 10:15:50.842807 He
2023-03-31 10:15:52.376151 added:
2023-03-31 10:15:53.909499 "There
2023-03-31 10:15:55.443442 are
2023-03-31 10:15:56.976045 a
2023-03-31 10:15:58.509642 number
2023-03-31 10:16:00.063760 of
2023-03-31 10:16:01.577547 other
2023-03-31 10:16:03.095383 shops
2023-03-31 10:16:04.610761 in
2023-03-31 10:16:06.128234 this
2023-03-31 10:16:07.644242 area
2023-03-31 10:16:09.160723 and
2023-03-31 10:16:10.677740 people
2023-03-31 10:16:12.194265 may
2023-03-31 10:16:13.763037 have
2023-03-31 10:16:15.292627 seen
2023-03-31 10:16:16.826238 the
2023-03-31 10:16:18.359513 two
2023-03-31 10:16:19.892478 men
2023-03-31 10:16:21.426029 prior
2023-03-31 10:16:22.959060 to
2023-03-31 10:16:24.492333 or
2023-03-31 10:16:26.025674 after
2023-03-31 10:16:27.559392 the
2023-03-31 10:16:29.096212 incident.
2023-03-31 10:16:30.612159 "I
2023-03-31 10:16:32.127741 am
2023-03-31 10:16:33.644853 therefore
2023-03-31 10:16:35.161369 appealing
2023-03-31 10:16:36.677002 to
2023-03-31 10:16:38.195185 anyone
2023-03-31 10:16:39.710758 who
2023-03-31 10:16:41.278097 was
2023-03-31 10:16:42.808935 in
2023-03-31 10:16:44.341963 the
2023-03-31 10:16:45.875435 area
2023-03-31 10:16:47.408927 or
2023-03-31 10:16:48.942024 any
2023-03-31 10:16:50.475462 local
2023-03-31 10:16:52.008572 residents
2023-03-31 10:16:53.542010 to
2023-03-31 10:16:55.075725 contact
2023-03-31 10:16:56.595679 us
2023-03-31 10:16:58.111289 -
2023-03-31 10:16:59.628134 any
2023-03-31 10:17:01.143343 information
2023-03-31 10:17:02.660246 you
2023-03-31 10:17:04.178948 have
2023-03-31 10:17:05.694312 could
2023-03-31 10:17:07.261613 assist
2023-03-31 10:17:08.792372 our
2023-03-31 10:17:10.325066 enquiry."
Question onset timestamp: 2023-03-31 10:17:22.976193
Response time timestamp: 2023-03-31 10:17:28.341518
Results: ['left', 'right', 'left']
