Word presentation timestamps:
2023-03-31 09:47:38.251726 an
2023-03-31 09:47:39.786459 Iowa-based
2023-03-31 09:47:41.300807 non-profit
2023-03-31 09:47:42.820349 organisation
2023-03-31 09:47:44.335504 that
2023-03-31 09:47:45.851582 was
2023-03-31 09:47:47.370437 operating
2023-03-31 09:47:48.885326 the
2023-03-31 09:47:50.454810 test,
2023-03-31 09:47:51.983995 said
2023-03-31 09:47:53.517261 it
2023-03-31 09:47:55.050856 took
2023-03-31 09:47:56.583830 the
2023-03-31 09:47:58.117485 decision
2023-03-31 09:47:59.650912 after
2023-03-31 09:48:01.183901 receiving
2023-03-31 09:48:02.717132 "credible
2023-03-31 09:48:04.250719 evidence
2023-03-31 09:48:05.788104 that
2023-03-31 09:48:07.302941 test
2023-03-31 09:48:08.818654 materials
2023-03-31 09:48:10.334898 intended
2023-03-31 09:48:11.853970 for
2023-03-31 09:48:13.369565 administration
2023-03-31 09:48:14.886413 in
2023-03-31 09:48:16.401924 these
2023-03-31 09:48:17.918726 regions
2023-03-31 09:48:19.486523 have
2023-03-31 09:48:21.038108 been
2023-03-31 09:48:22.566667 compromised".
2023-03-31 09:48:24.100625 The
2023-03-31 09:48:25.633526 organisation
2023-03-31 09:48:27.166928 said
2023-03-31 09:48:28.700539 in
2023-03-31 09:48:30.233398 a
2023-03-31 09:48:31.768152 statement
2023-03-31 09:48:33.300261 that
2023-03-31 09:48:34.819573 all
2023-03-31 09:48:36.336414 students
2023-03-31 09:48:37.851360 would
2023-03-31 09:48:39.370577 get
2023-03-31 09:48:40.886677 a
2023-03-31 09:48:42.402962 refund
2023-03-31 09:48:43.918273 but
2023-03-31 09:48:45.487130 would
2023-03-31 09:48:47.016436 only
2023-03-31 09:48:48.549815 be
2023-03-31 09:48:50.083403 able
2023-03-31 09:48:51.616427 to
2023-03-31 09:48:53.149857 resit
2023-03-31 09:48:54.683018 when
2023-03-31 09:48:56.216423 the
2023-03-31 09:48:57.749666 tests
2023-03-31 09:48:59.283454 are
2023-03-31 09:49:00.803111 held
2023-03-31 09:49:02.318699 again
2023-03-31 09:49:03.834461 in
2023-03-31 09:49:05.351622 September.
Question onset timestamp: 2023-03-31 09:58:37.675605
Response time timestamp: 2023-03-31 09:58:37.799884
Results: ['right', 'right', 'right']
Word presentation timestamps:
Fixation onset timestamp: 2023-03-31 10:07:47.799502
2023-03-31 10:07:52.865990 The
2023-03-31 10:07:54.400279 25-year-old
2023-03-31 10:07:55.936871 moved
2023-03-31 10:07:57.451269 to
2023-03-31 10:07:58.969484 the
2023-03-31 10:08:00.486425 Red
2023-03-31 10:08:02.002240 Rose
2023-03-31 10:08:03.518986 from
2023-03-31 10:08:05.052946 Somerset
2023-03-31 10:08:06.620507 in
2023-03-31 10:08:08.170474 2013
2023-03-31 10:08:09.720463 and
2023-03-31 10:08:11.249839 his
2023-03-31 10:08:12.782867 new
2023-03-31 10:08:14.316656 deal
2023-03-31 10:08:15.849577 ties
2023-03-31 10:08:17.383368 him
2023-03-31 10:08:18.915641 to
2023-03-31 10:08:20.452262 the
2023-03-31 10:08:21.969318 club
2023-03-31 10:08:23.485174 until
2023-03-31 10:08:25.001782 2019.
2023-03-31 10:08:26.517659 Short-format
2023-03-31 10:08:28.034786 specialist
2023-03-31 10:08:29.551690 Buttler
2023-03-31 10:08:31.120243 has
2023-03-31 10:08:32.668499 scored
2023-03-31 10:08:34.218941 England's
2023-03-31 10:08:35.749203 three
2023-03-31 10:08:37.282480 fastest
2023-03-31 10:08:38.816165 ODI
2023-03-31 10:08:40.349141 centuries,
2023-03-31 10:08:41.881706 including
2023-03-31 10:08:43.417168 a
2023-03-31 10:08:44.934368 46-ball
2023-03-31 10:08:46.450428 ton
2023-03-31 10:08:47.967850 against
2023-03-31 10:08:49.484431 Pakistan
2023-03-31 10:08:51.000317 last
2023-03-31 10:08:52.517758 year.
2023-03-31 10:08:54.034995 "Jos
2023-03-31 10:08:55.551778 is
2023-03-31 10:08:57.118721 one
2023-03-31 10:08:58.648935 of
2023-03-31 10:09:00.182500 the
2023-03-31 10:09:01.715453 most
2023-03-31 10:09:03.248810 talented
2023-03-31 10:09:04.782015 cricketers
2023-03-31 10:09:06.315972 in
2023-03-31 10:09:07.849201 the
2023-03-31 10:09:09.401078 game,
2023-03-31 10:09:10.936508 "
2023-03-31 10:09:12.467046 said
2023-03-31 10:09:13.983435 cricket
2023-03-31 10:09:15.502077 director
2023-03-31 10:09:17.018161 and
2023-03-31 10:09:18.533530 head
2023-03-31 10:09:20.050500 coach
2023-03-31 10:09:21.618280 Ashley
2023-03-31 10:09:23.167549 Giles.
2023-03-31 10:09:24.698390 "His
2023-03-31 10:09:26.231816 presence
2023-03-31 10:09:27.765110 in
2023-03-31 10:09:29.298875 last
2023-03-31 10:09:30.831586 year's
2023-03-31 10:09:32.365052 T20
2023-03-31 10:09:33.898502 Blast
2023-03-31 10:09:35.432027 final
2023-03-31 10:09:36.950957 at
2023-03-31 10:09:38.468079 Edgbaston
2023-03-31 10:09:39.984702 was
2023-03-31 10:09:41.499657 a
2023-03-31 10:09:43.019645 factor
2023-03-31 10:09:44.533078 in
2023-03-31 10:09:46.051780 us
2023-03-31 10:09:47.618730 winning
2023-03-31 10:09:49.148192 the
2023-03-31 10:09:50.682088 competition.
2023-03-31 10:09:52.215285 "Jos
2023-03-31 10:09:53.748082 is
2023-03-31 10:09:55.268660 a
2023-03-31 10:09:56.798048 great
2023-03-31 10:09:58.331787 guy
2023-03-31 10:09:59.885322 to
2023-03-31 10:10:01.436029 have
2023-03-31 10:10:02.967408 in
2023-03-31 10:10:04.483743 the
2023-03-31 10:10:05.999547 dressing
2023-03-31 10:10:07.517381 room
2023-03-31 10:10:09.032497 too
2023-03-31 10:10:10.549434 and
2023-03-31 10:10:12.118304 his
2023-03-31 10:10:13.667262 experience
2023-03-31 10:10:15.197806 at
2023-03-31 10:10:16.731116 international
2023-03-31 10:10:18.264336 level
2023-03-31 10:10:19.797689 really
2023-03-31 10:10:21.331202 benefits
2023-03-31 10:10:22.864313 the
2023-03-31 10:10:24.397484 squad.
2023-03-31 10:10:25.931171 "Buttler,
2023-03-31 10:10:27.468806 who
2023-03-31 10:10:28.984149 has
2023-03-31 10:10:30.499204 been
2023-03-31 10:10:32.015609 playing
2023-03-31 10:10:33.533524 in
2023-03-31 10:10:35.049301 the
2023-03-31 10:10:36.565728 Indian
2023-03-31 10:10:38.134634 Premier
2023-03-31 10:10:39.683863 League
2023-03-31 10:10:41.213995 with
2023-03-31 10:10:42.747541 Mumbai
2023-03-31 10:10:44.281240 Indians,
2023-03-31 10:10:45.813736 will
2023-03-31 10:10:47.347252 return
2023-03-31 10:10:48.880603 to
2023-03-31 10:10:50.415427 Lancashire
2023-03-31 10:10:51.967107 for
2023-03-31 10:10:53.482496 Friday's
2023-03-31 10:10:55.000384 T20
2023-03-31 10:10:56.515097 Blast
2023-03-31 10:10:58.034612 home
2023-03-31 10:10:59.548915 game
2023-03-31 10:11:01.096120 against
2023-03-31 10:11:02.630434 Durham.
Question onset timestamp: 2023-03-31 10:11:14.763536
Response time timestamp: 2023-03-31 10:11:18.079558
Results: ['right', 'left', 'left']
