Word presentation timestamps:
2023-03-31 10:33:18.079386 take
2023-03-31 10:33:19.648180 the
2023-03-31 10:33:21.198375 cash.
2023-03-31 10:33:22.748985 The
2023-03-31 10:33:24.297662 Sandyhills
2023-03-31 10:33:25.827766 incident
2023-03-31 10:33:27.361023 happened
2023-03-31 10:33:28.894297 on
2023-03-31 10:33:30.427559 15
2023-03-31 10:33:31.961218 September
2023-03-31 10:33:33.478518 with
2023-03-31 10:33:34.996442 the
2023-03-31 10:33:36.512830 Stranraer
2023-03-31 10:33:38.029237 con
2023-03-31 10:33:39.545521 taking
2023-03-31 10:33:41.062207 place
2023-03-31 10:33:42.578224 seven
2023-03-31 10:33:44.147908 days
2023-03-31 10:33:45.677424 later.
2023-03-31 10:33:47.210953 PC
2023-03-31 10:33:48.743797 Siobhan
2023-03-31 10:33:50.276725 Pellett
2023-03-31 10:33:51.810973 said:
2023-03-31 10:33:53.343805 "The
2023-03-31 10:33:54.877475 ease
2023-03-31 10:33:56.410635 with
2023-03-31 10:33:57.944036 which
2023-03-31 10:33:59.478970 these
2023-03-31 10:34:00.995146 people
2023-03-31 10:34:02.513278 seem
2023-03-31 10:34:04.028247 to
2023-03-31 10:34:05.547600 be
2023-03-31 10:34:07.061679 able
2023-03-31 10:34:08.629957 to
2023-03-31 10:34:10.160242 gain
2023-03-31 10:34:11.693551 access
2023-03-31 10:34:13.227323 to
2023-03-31 10:34:14.760021 their
2023-03-31 10:34:16.293536 victim's
2023-03-31 10:34:17.827029 computer
2023-03-31 10:34:19.360294 is
2023-03-31 10:34:20.893466 frightening
2023-03-31 10:34:22.426863 and
2023-03-31 10:34:23.978477 the
2023-03-31 10:34:25.496894 sums
2023-03-31 10:34:27.011314 of
2023-03-31 10:34:28.530052 money
2023-03-31 10:34:30.044731 being
2023-03-31 10:34:31.562798 taken
2023-03-31 10:34:33.078838 are
2023-03-31 10:34:34.646048 substantial.
2023-03-31 10:34:36.176615 "We
2023-03-31 10:34:37.709680 are
2023-03-31 10:34:39.243672 asking
2023-03-31 10:34:40.776521 people
2023-03-31 10:34:42.309898 to
2023-03-31 10:34:43.842462 be
2023-03-31 10:34:45.376463 very,
2023-03-31 10:34:46.909386 very
2023-03-31 10:34:48.462726 careful
2023-03-31 10:34:49.977857 when
2023-03-31 10:34:51.494245 answering
2023-03-31 10:34:53.013667 a
2023-03-31 10:34:54.527814 cold
2023-03-31 10:34:56.045305 call
2023-03-31 10:34:57.560789 from
2023-03-31 10:34:59.077775 someone
2023-03-31 10:35:00.647641 who
2023-03-31 10:35:02.195075 tries
2023-03-31 10:35:03.726176 to
2023-03-31 10:35:05.259317 gain
2023-03-31 10:35:06.792767 remote
2023-03-31 10:35:08.326057 access
2023-03-31 10:35:09.859605 to
2023-03-31 10:35:11.392755 their
2023-03-31 10:35:12.926018 computer
2023-03-31 10:35:14.462067 in
2023-03-31 10:35:15.977833 order
2023-03-31 10:35:17.493826 to
2023-03-31 10:35:19.011167 rectify
2023-03-31 10:35:20.527913 an
2023-03-31 10:35:22.044450 alleged
2023-03-31 10:35:23.561730 fault.
2023-03-31 10:35:25.077143 "Our
2023-03-31 10:35:26.647159 message
2023-03-31 10:35:28.196133 is
2023-03-31 10:35:29.744455 worth
2023-03-31 10:35:31.275843 repeating
2023-03-31 10:35:32.808927 once
2023-03-31 10:35:34.342398 again
2023-03-31 10:35:35.875767 that
2023-03-31 10:35:37.409030 people
2023-03-31 10:35:38.942761 should
2023-03-31 10:35:40.479274 never,
2023-03-31 10:35:41.994506 never
2023-03-31 10:35:43.511223 give
2023-03-31 10:35:45.026555 out
2023-03-31 10:35:46.545340 any
2023-03-31 10:35:48.061066 banking
2023-03-31 10:35:49.577030 details
2023-03-31 10:35:51.093646 or
2023-03-31 10:35:52.661812 account
2023-03-31 10:35:54.192532 numbers
2023-03-31 10:35:55.710877 over
2023-03-31 10:35:57.242846 the
2023-03-31 10:35:58.775994 telephone.
2023-03-31 10:36:00.308710 "Banks,
2023-03-31 10:36:01.842588 building
2023-03-31 10:36:03.375142 societies
2023-03-31 10:36:04.908511 and
2023-03-31 10:36:06.441835 reputable
2023-03-31 10:36:07.975529 businesses
2023-03-31 10:36:09.512981 never
2023-03-31 10:36:11.026901 ask
2023-03-31 10:36:12.542891 for
2023-03-31 10:36:14.061985 this
2023-03-31 10:36:15.576488 information."
Question onset timestamp: 2023-03-31 10:36:27.077059
Response time timestamp: 2023-03-31 10:36:30.855980
Results: ['left', 'right', 'left']
